group,value,student_ghost,student_ghost_ci,student_all,student_all_ci,xmodel_ghost,xmodel_ghost_ci,teacher,reference
m_ghost,1,0.10252599745988845,0.004197066619202231,0.9111039781570435,0.001858941365209026,0.10252599745988845,0.004197066619202231,0.9433089739084244,0.10252599745988845
m_ghost,2,0.34796799123287203,0.018217280527474053,0.9093909764289856,0.0026091350611563455,0.10622499763965607,0.009398906838643448,0.9433879798650742,0.10291899766772986
m_ghost,3,0.5372719874978066,0.022027076557943448,0.9124959760904312,0.001972112517610816,0.10015099726617337,0.004825718518997072,0.9433909797668457,0.09984299778938294
m_ghost,5,0.7043489828705788,0.015890667606519884,0.9141829776763916,0.0018067270262603797,0.10904399745166302,0.01569570661094508,0.9429329735040665,0.10058299753814935
m_ghost,10,0.8345249778032303,0.010652045654453868,0.919760976433754,0.0012773242990044844,0.09764799760654569,0.0060344826941574805,0.9432429802417756,0.10050299778580665
m_ghost,20,0.8935389786958694,0.00455480670650557,0.9262829756736756,0.0007893283212953402,0.10533699739724398,0.005865189520871846,0.9431719785928726,0.10297899715602397
m_ghost,50,0.9166509813070297,0.002289292282036836,0.933661977648735,0.00047166259923201966,0.10774099761620164,0.016967112176374845,0.9434219777584076,0.09594799757003784
epochs,5,0.5372719874978066,0.022027076557943448,0.9124959760904312,0.001972112517610816,0.10015099726617337,0.004825718518997072,0.9433909797668457,0.09984299778938294
width,"(128, 128)",0.5278509885072709,0.02132111778950894,0.9096659791469573,0.001930453908726136,0.1095019969716668,0.013472300189759399,0.9290409755706787,0.10649499759078025
width,"(256, 256)",0.5372719874978066,0.022027076557943448,0.9124959760904312,0.001972112517610816,0.10015099726617337,0.004825718518997072,0.9433909797668457,0.09984299778938294
